iter	Passed	Remaining
0	0	88
1	1	87
2	2	84
3	3	77
4	4	76
5	4	75
6	5	73
7	6	73
8	7	71
9	7	70
10	8	70
11	9	69
12	10	67
13	10	66
14	11	65
15	12	64
16	12	63
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	19	54
26	19	53
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
