iter	Passed	Remaining
0	149	149745
1	150	75226
2	151	50257
3	151	37763
4	152	30275
5	152	25287
6	153	21755
7	153	19076
8	154	16991
9	154	15331
10	155	13973
11	155	12841
12	156	11883
13	157	11061
14	157	10352
15	158	9733
16	158	9191
17	159	8704
18	160	8262
19	160	7870
20	161	7512
21	161	7188
22	162	6894
23	162	6619
24	163	6366
25	163	6132
26	164	5915
27	164	5714
28	165	5527
29	165	5353
30	166	5189
31	166	5036
32	167	4893
33	167	4759
34	168	4634
35	168	4515
36	169	4411
37	170	4308
38	170	4206
39	171	4110
40	171	4021
41	172	3935
42	173	3853
43	173	3779
44	174	3703
45	175	3630
46	175	3561
47	176	3496
48	176	3432
49	177	3371
50	178	3316
51	178	3261
52	179	3205
53	179	3150
54	180	3099
55	181	3051
56	181	3004
57	182	2960
58	182	2917
59	183	2874
60	183	2832
61	184	2791
62	185	2751
63	185	2715
64	186	2679
65	186	2645
66	187	2610
67	187	2576
68	188	2545
69	189	2515
70	190	2486
71	190	2458
72	191	2429
73	191	2401
74	192	2374
75	193	2347
76	193	2320
77	194	2293
78	194	2267
79	195	2242
80	195	2217
81	196	2194
82	196	2168
83	196	2147
84	197	2129
85	198	2109
86	199	2088
87	199	2068
88	200	2049
89	200	2031
90	201	2012
91	202	1998
92	203	1981
93	203	1963
94	204	1947
95	205	1931
96	205	1914
97	206	1897
98	206	1881
99	207	1865
100	207	1850
101	208	1834
102	208	1818
103	209	1803
104	209	1789
105	210	1773
106	211	1761
107	211	1748
108	212	1736
109	213	1724
110	213	1711
111	214	1698
112	214	1686
113	215	1675
114	216	1664
115	216	1653
116	217	1641
117	218	1631
118	218	1620
119	219	1610
120	220	1600
121	220	1589
122	221	1579
123	222	1569
124	222	1559
125	223	1549
126	223	1537
127	224	1527
128	224	1517
129	225	1507
130	225	1497
131	226	1488
132	226	1479
133	227	1470
134	228	1462
135	228	1453
136	229	1444
137	229	1435
138	230	1427
139	230	1418
140	231	1410
141	231	1401
142	232	1393
143	233	1386
144	233	1378
145	234	1370
146	234	1363
147	235	1355
148	235	1347
149	236	1340
150	237	1333
151	237	1326
152	238	1319
153	238	1311
154	239	1304
155	239	1297
156	240	1290
157	240	1284
158	241	1277
159	242	1270
160	242	1264
161	243	1258
162	243	1252
163	244	1245
164	245	1240
165	245	1235
166	246	1230
167	247	1225
168	248	1220
169	248	1214
170	249	1209
171	249	1203
172	250	1197
173	251	1192
174	251	1187
175	252	1181
176	252	1175
177	253	1169
178	253	1163
179	254	1157
180	254	1152
181	255	1147
182	256	1142
183	256	1137
184	257	1133
185	257	1127
186	258	1122
187	258	1117
188	259	1112
189	260	1108
190	260	1104
191	261	1100
192	262	1096
193	263	1092
194	263	1089
195	264	1084
196	265	1080
197	265	1076
198	266	1071
199	266	1066
200	267	1061
201	267	1057
202	268	1052
203	268	1047
204	269	1043
205	269	1038
206	270	1036
207	271	1033
208	271	1029
209	272	1025
210	273	1021
211	273	1018
212	274	1014
213	275	1011
214	275	1007
215	276	1004
216	277	1000
217	277	996
218	278	993
219	279	989
220	279	985
221	280	981
222	280	977
223	280	973
224	281	969
225	281	965
226	282	962
227	282	958
228	283	954
229	284	950
230	284	947
231	285	944
232	286	941
233	286	938
234	287	935
235	288	932
236	288	929
237	289	926
238	290	924
239	291	922
240	292	920
241	292	917
242	293	914
243	294	911
244	294	908
245	295	905
246	296	902
247	296	900
248	297	896
249	297	893
250	298	890
251	298	887
252	299	884
253	300	881
254	300	878
255	301	876
256	302	874
257	303	871
258	304	869
259	304	867
260	305	864
261	305	861
262	306	858
263	307	856
264	307	853
265	308	850
266	308	847
267	309	844
268	309	841
269	310	838
270	310	835
271	311	832
272	311	829
273	311	826
274	312	823
275	312	820
276	313	818
277	314	816
278	314	813
279	315	811
280	316	808
281	316	806
282	317	803
283	317	801
284	318	798
285	319	796
286	319	794
287	321	793
288	321	791
289	322	790
290	323	787
291	323	785
292	324	783
293	325	780
294	325	778
295	326	775
296	326	773
297	327	770
298	327	768
299	328	766
300	328	763
301	329	761
302	330	759
303	330	757
304	331	754
305	331	752
306	332	750
307	333	748
308	334	746
309	334	745
310	335	743
311	336	741
312	336	739
313	337	737
314	337	734
315	338	732
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	718
322	341	716
323	342	714
324	342	712
325	343	709
326	344	708
327	344	706
328	345	704
329	345	702
330	346	700
331	347	698
332	347	696
333	348	694
334	349	693
335	350	691
336	350	690
337	351	688
338	352	686
339	352	684
340	353	682
341	353	680
342	354	678
343	354	676
344	355	674
345	355	672
346	356	670
347	356	668
348	357	666
349	357	664
350	358	662
351	359	660
352	359	659
353	360	657
354	361	655
355	361	654
356	362	652
357	362	650
358	363	649
359	364	647
360	365	646
361	366	646
362	367	644
363	368	643
364	368	641
365	369	639
366	369	638
367	370	636
368	370	634
369	371	632
370	371	630
371	372	628
372	372	626
373	373	625
374	374	623
375	374	622
376	375	620
377	375	618
378	376	617
379	377	615
380	377	613
381	378	612
382	379	611
383	380	610
384	381	608
385	381	607
386	382	605
387	382	604
388	383	602
389	384	600
390	384	598
391	385	597
392	385	595
393	386	593
394	386	592
395	387	590
396	387	588
397	388	587
398	388	585
399	389	584
400	390	582
401	390	581
402	391	579
403	391	578
404	392	576
405	393	575
406	394	574
407	394	572
408	395	572
409	396	570
410	397	569
411	398	568
412	398	566
413	399	565
414	399	563
415	400	562
416	401	560
417	401	559
418	402	557
419	402	556
420	403	555
421	404	553
422	404	552
423	405	550
424	406	549
425	406	548
426	407	547
427	408	545
428	409	545
429	410	543
430	411	542
431	411	541
432	412	540
433	413	539
434	414	537
435	414	536
436	415	534
437	415	533
438	416	532
439	416	530
440	417	529
441	418	527
442	418	526
443	419	525
444	420	524
445	420	522
446	421	521
447	422	520
448	422	518
449	423	517
450	424	516
451	425	515
452	426	514
453	426	513
454	427	512
455	428	511
456	428	509
457	429	508
458	429	506
459	430	505
460	430	503
461	431	502
462	432	501
463	432	499
464	433	498
465	433	497
466	434	495
467	435	494
468	435	493
469	436	491
470	436	490
471	437	489
472	437	487
473	438	486
474	438	485
475	439	483
476	440	482
477	440	481
478	440	479
479	441	478
480	441	476
481	442	475
482	442	474
483	443	472
484	443	471
485	444	469
486	444	468
487	445	467
488	445	465
489	446	464
490	446	462
491	447	461
492	447	460
493	448	459
494	449	458
495	449	457
496	450	455
497	451	454
498	451	453
499	452	452
500	453	451
501	454	450
502	454	449
503	455	448
504	455	446
505	456	445
506	457	444
507	457	443
508	458	441
509	458	440
510	459	439
511	459	438
512	460	437
513	460	435
514	461	434
515	462	433
516	462	432
517	463	431
518	463	429
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	468	423
525	468	422
526	469	421
527	470	420
528	470	419
529	471	417
530	471	416
531	472	415
532	472	414
533	473	412
534	473	411
535	474	410
536	474	409
537	475	408
538	476	407
539	476	406
540	477	405
541	478	404
542	478	403
543	479	402
544	480	401
545	481	400
546	482	399
547	483	398
548	483	397
549	484	396
550	485	395
551	485	394
552	486	393
553	487	392
554	487	391
555	488	390
556	489	389
557	490	388
558	490	387
559	491	386
560	491	384
561	492	383
562	493	382
563	493	381
564	494	380
565	494	379
566	495	378
567	495	377
568	496	376
569	497	375
570	497	374
571	498	372
572	498	371
573	499	370
574	500	369
575	500	368
576	501	367
577	502	366
578	502	365
579	504	365
580	504	364
581	505	363
582	506	362
583	507	361
584	508	360
585	509	359
586	509	358
587	510	357
588	510	356
589	511	355
590	512	354
591	512	353
592	513	352
593	514	351
594	515	350
595	515	349
596	516	348
597	516	347
598	517	346
599	517	345
600	518	343
601	518	342
602	519	341
603	519	340
604	520	339
605	521	338
606	521	337
607	522	336
608	523	335
609	523	334
610	524	333
611	525	332
612	525	331
613	526	330
614	526	329
615	527	328
616	528	327
617	528	326
618	529	325
619	530	324
620	530	323
621	531	322
622	531	321
623	532	320
624	532	319
625	532	318
626	533	317
627	533	316
628	534	315
629	535	314
630	535	313
631	536	312
632	537	311
633	537	310
634	538	309
635	539	308
636	539	307
637	540	306
638	540	305
639	541	304
640	542	303
641	543	303
642	544	302
643	544	301
644	545	300
645	545	299
646	546	298
647	546	297
648	547	296
649	547	294
650	548	293
651	548	292
652	549	291
653	549	290
654	550	290
655	551	289
656	552	288
657	552	287
658	553	286
659	553	285
660	554	284
661	554	283
662	555	282
663	556	281
664	557	280
665	557	279
666	558	278
667	559	277
668	559	276
669	559	275
670	560	274
671	560	273
672	561	272
673	561	271
674	562	270
675	562	269
676	563	268
677	563	267
678	564	266
679	564	265
680	565	265
681	566	264
682	567	263
683	567	262
684	568	261
685	569	260
686	569	259
687	570	258
688	571	257
689	571	256
690	572	256
691	573	255
692	573	254
693	574	253
694	574	252
695	575	251
696	575	250
697	576	249
698	576	248
699	577	247
700	577	246
701	577	245
702	578	244
703	579	243
704	579	242
705	580	241
706	580	240
707	582	240
708	582	239
709	583	238
710	583	237
711	584	236
712	585	235
713	586	234
714	586	233
715	587	233
716	588	232
717	588	231
718	588	230
719	589	229
720	589	228
721	590	227
722	591	226
723	591	225
724	591	224
725	592	223
726	592	222
727	593	221
728	594	220
729	595	220
730	596	219
731	596	218
732	597	217
733	597	216
734	598	215
735	599	214
736	599	214
737	600	213
738	601	212
739	601	211
740	602	210
741	603	209
742	603	208
743	604	207
744	604	207
745	605	206
746	605	205
747	606	204
748	606	203
749	607	202
750	608	201
751	608	200
752	609	199
753	610	199
754	610	198
755	611	197
756	611	196
757	612	195
758	613	194
759	613	193
760	614	192
761	615	192
762	616	191
763	616	190
764	617	189
765	617	188
766	618	187
767	618	186
768	619	186
769	619	185
770	620	184
771	620	183
772	621	182
773	621	181
774	622	180
775	622	179
776	623	178
777	624	178
778	625	177
779	625	176
780	626	175
781	627	174
782	627	173
783	628	173
784	629	172
785	629	171
786	630	170
787	631	169
788	632	169
789	632	168
790	633	167
791	633	166
792	633	165
793	634	164
794	635	163
795	635	162
796	636	162
797	636	161
798	637	160
799	637	159
800	638	158
801	639	157
802	640	157
803	640	156
804	641	155
805	642	154
806	642	153
807	643	152
808	644	152
809	645	151
810	645	150
811	646	149
812	647	148
813	647	147
814	648	147
815	648	146
816	648	145
817	649	144
818	650	143
819	650	142
820	651	141
821	651	141
822	652	140
823	652	139
824	653	138
825	654	137
826	654	137
827	655	136
828	656	135
829	657	134
830	657	133
831	658	132
832	659	132
833	659	131
834	660	130
835	661	129
836	661	128
837	662	128
838	662	127
839	663	126
840	663	125
841	664	124
842	664	123
843	665	122
844	665	122
845	665	121
846	666	120
847	667	119
848	668	118
849	668	118
850	669	117
851	670	116
852	671	115
853	671	114
854	672	114
855	673	113
856	673	112
857	674	111
858	675	110
859	676	110
860	676	109
861	677	108
862	677	107
863	678	106
864	678	105
865	679	105
866	679	104
